animal,country,id,path,value,x,y
cat,Saudi Arabia,Saudi Arabia,0,0.47,0.16455771517599627,0.7163419283945731
dog,Saudi Arabia,Saudi Arabia,1,0.3,0.10798019579474771,0.6409682342488807
flag,Saudi Arabia,Saudi Arabia,-1,0.0,0.09120472554254011,0.4585171185885102
cat,Türkiye,Türkiye,0,0.47,0.30114716230555594,0.6704740014611388
dog,Türkiye,Türkiye,1,0.4,0.2487176308962913,0.6543237272798046
flag,Türkiye,Türkiye,-1,0.0,0.17890450463067942,0.43191368144902653
cat,Sweden,Sweden,0,0.45,0.4203655473917225,0.5906926498324299
dog,Sweden,Sweden,1,0.42,0.37689925827505166,0.6017033730267065
flag,Sweden,Sweden,-1,0.0,0.25972908393666416,0.38871204375144
cat,Pakistan,Pakistan,0,0.44,0.5238886449488938,0.49390352063293874
dog,Pakistan,Pakistan,1,0.38,0.4733242072732331,0.5020599514093567
flag,Pakistan,Pakistan,-1,0.0,0.3305724202047111,0.3305724202047111
cat,Netherlands,Netherlands,0,0.42,0.5784714225945176,0.41166832916982465
dog,Netherlands,Netherlands,1,0.44,0.6101780684214488,0.38220769853244674
flag,Netherlands,Netherlands,-1,0.0,0.38871204375144,0.25972908393666394
cat,Malaysia,Malaysia,0,0.41,0.6589974681889461,0.2504941854026934
dog,Malaysia,Malaysia,1,0.39,0.63398562042924,0.2847582010916483
flag,Malaysia,Malaysia,-1,0.0,0.43191368144902653,0.17890450463067942
cat,Indonesia,Indonesia,0,0.41,0.6952040079160935,0.11711698159276462
dog,Indonesia,Indonesia,1,0.37,0.6676111849663708,0.15336331278307136
flag,Indonesia,Indonesia,-1,0.0,0.4585171185885102,0.09120472554253989
cat,Russia,Russia,0,0.4,0.699696415951415,0.020613721273574193
dog,Russia,Russia,1,0.47,0.7346812367489854,-0.021644407337252924
flag,Russia,Russia,-1,0.0,0.4675,0.0
cat,Bangladesh,Bangladesh,0,0.39,0.6773573336520113,-0.15560219326165647
dog,Bangladesh,Bangladesh,1,0.37,0.6754819084007435,-0.11379451402984986
flag,Bangladesh,Bangladesh,-1,0.0,0.4585171185885102,-0.09120472554254022
cat,Vietnam,Vietnam,0,0.38,0.6449762454615215,-0.24516452188348714
dog,Vietnam,Vietnam,1,0.47,0.6704740014611388,-0.3011471623055557
flag,Vietnam,Vietnam,-1,0.0,0.43191368144902675,-0.17890450463067942
cat,United Arab Emirates,United Arab Emirates,0,0.35,0.5720419391451081,-0.358319717374169
dog,United Arab Emirates,United Arab Emirates,1,0.41,0.5743976801818802,-0.40876925642919204
flag,United Arab Emirates,United Arab Emirates,-1,0.0,0.38871204375144,-0.25972908393666405
cat,Hong Kong,Hong Kong,0,0.33,0.48386937345974257,-0.45617477947347806
dog,Hong Kong,Hong Kong,1,0.53,0.5247724906724969,-0.5566316852582003
flag,Hong Kong,Hong Kong,-1,0.0,0.3305724202047109,-0.3305724202047111
cat,Thailand,Thailand,0,0.33,0.38557667450413113,-0.5418077408807808
dog,Thailand,Thailand,1,0.5,0.39813301930463196,-0.6356021546056759
flag,Thailand,Thailand,-1,0.0,0.25972908393666394,-0.38871204375144
cat,Germany,Germany,0,0.32,0.2704178600294789,-0.6020582870263287
dog,Germany,Germany,1,0.56,0.2771425029987242,-0.7291035818260683
flag,Germany,Germany,-1,0.0,0.17890450463067964,-0.43191368144902653
cat,Philippines,Philippines,0,0.32,0.14776611158660868,-0.6432458132522698
dog,Philippines,Philippines,1,0.5,0.12459253360932432,-0.7395787318256315
flag,Philippines,Philippines,-1,0.0,0.09120472554253989,-0.4585171185885102
cat,Spain,Spain,0,0.31,0.01928855347741565,-0.654715932068824
dog,Spain,Spain,1,0.56,-0.022969575133411246,-0.7796617206315766
flag,Spain,Spain,-1,0.0,-1.1102230246251565e-16,-0.4675
cat,France,France,0,0.31,-0.10881081268547677,-0.6458987591277182
dog,France,France,1,0.57,-0.17575211756892062,-0.7650726718227754
flag,France,France,-1,0.0,-0.09120472554254011,-0.4585171185885102
cat,Singapore,Singapore,0,0.28,-0.22739897681946686,-0.598238836370107
dog,Singapore,Singapore,1,0.5,-0.30729302276077175,-0.6841571443481006
flag,Singapore,Singapore,-1,0.0,-0.17890450463067942,-0.43191368144902664
cat,New Zealand,New Zealand,0,0.28,-0.33974017647328614,-0.54238050526351
dog,New Zealand,New Zealand,1,0.52,-0.4406590565761501,-0.6192088467208922
flag,New Zealand,New Zealand,-1,0.0,-0.25972908393666405,-0.38871204375144
cat,Mexico,Mexico,0,0.28,-0.4390253516737236,-0.4656787955101278
dog,Mexico,Mexico,1,0.57,-0.5711841476178914,-0.5384920329123011
flag,Mexico,Mexico,-1,0.0,-0.3305724202047111,-0.3305724202047109
cat,Italy,Italy,0,0.27,-0.517365286404956,-0.3681822380603359
dog,Italy,Italy,1,0.62,-0.68645032697413,-0.42998366084900264
flag,Italy,Italy,-1,0.0,-0.3887120437514402,-0.2597290839366637
cat,Japan,Japan,0,0.27,-0.5792530488813923,-0.2601747592707857
dog,Japan,Japan,1,0.55,-0.7244298409169265,-0.27536594849232254
flag,Japan,Japan,-1,0.0,-0.43191368144902653,-0.17890450463067964
cat,Canada,Canada,0,0.26,-0.6140073671953483,-0.1410494701508539
dog,Canada,Canada,1,0.59,-0.7839534557351693,-0.13206808562588457
flag,Canada,Canada,-1,0.0,-0.4585171185885103,-0.09120472554253978
cat,United Kingdom,United Kingdom,0,0.25,-0.6247289428137632,-0.01840510827997699
dog,United Kingdom,United Kingdom,1,0.57,-0.7846595521740866,0.023116815999650875
flag,United Kingdom,United Kingdom,-1,0.0,-0.4675,0.0
cat,United States,United States,0,0.22,-0.6015240352181803,0.10133526066891685
dog,United States,United States,1,0.63,-0.7943111178796965,0.18246875900467652
flag,United States,United States,-1,0.0,-0.4585171185885102,0.09120472554253989
cat,South Africa,South Africa,0,0.22,-0.5701963909152582,0.2167396497810543
dog,South Africa,South Africa,1,0.52,-0.6932792396060756,0.311390263064248
flag,South Africa,South Africa,-1,0.0,-0.4319136814490263,0.17890450463068008
cat,Sri Lanka,Sri Lanka,0,0.21,-0.5127190713819119,0.32116063557240326
dog,Sri Lanka,Sri Lanka,1,0.49,-0.6069876194829796,0.4319618383542527
flag,Sri Lanka,Sri Lanka,-1,0.0,-0.38871204375144,0.25972908393666394
cat,Australia,Australia,0,0.2,-0.43657387079074494,0.4115862671941155
dog,Australia,Australia,1,0.61,-0.5522115751521051,0.5857366099775829
flag,Australia,Australia,-1,0.0,-0.3305724202047109,0.3305724202047111
cat,Nigeria,Nigeria,0,0.2,-0.3478887288759076,0.48884908951649386
dog,Nigeria,Nigeria,1,0.64,-0.4352921011063977,0.6949250223688723
flag,Nigeria,Nigeria,-1,0.0,-0.25972908393666416,0.38871204375143975
cat,Nepal,Nepal,0,0.18,-0.2417371779051397,0.5382036202205063
dog,Nepal,Nepal,1,0.61,-0.28602527553073553,0.7524722863717752
flag,Nepal,Nepal,-1,0.0,-0.17890450463067986,0.4319136814490263
